Title,Company,Location,Tag,Type,Link,Posting Date,Job Summary,Compensation
2024 Engineering Intern (Mechanical Engineering),Trane Technologies,"La Crosse, WI",Other,Intern,https://climatebase.org/job/47120167/2024-engineering-intern-mechanical-engineering?utm_source=company_page,2023-10-05,"At Trane Technologies® (https://www.tranetechnologies.com/)  we Challenge Possible. Our brands – including Trane® (https://www.trane.com/)  and  Thermo   King®   - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.Job Summary:Trane Technologies’ early career student program internships provide current college students with challenging assignments, leadership training, valuable exposure to our company's senior leaders and opportunities to network. Our 12-week summer internship opportunities offer candidates working toward their Bachelor's or Master’s in Mechanical Engineering exposure to a variety of assignments which could include: Product Development, Failure Analysis, Value Engineering, Design, and Verification Testing.At Trane Technologies, we value our people and their development. Through our student programs, participants will have an opportunity to interview for our full-time, post-graduate Accelerated Development Program for Engineering or direct hire opportunities. Click here (https://www.tranetechnologies.com/en/index/careers/early-careers.html)  to learn more.This posting supports multiple positions and the work arrangements will reflect the nature of the selected role. This could include Hybrid or Onsite work arrangements.Successful Candidate’s Profile:We are looking for performance-driven, innovative leaders who understand the importance of collaboration and customer focus. A successful candidate will exhibit the following:Collaborate with others to foster effective teamwork by linking own responsibilities to the team’s goals and needs - zeal for new information, knowledge, and experiencesRapidly resolve problems to maximize customer satisfactionEstablish courses of action for self and others to ensure work is completed efficiently, such as, prioritizing tasks based on importanceWilling to be mobile and relocate anywhere in the United StatesPursuing a BS/MS in Mechanical Engineering with a cumulative overall GPA at or above 3.0Minimum Work Experience: At least one internship or work experienceDemonstrated leadership skills such as: campus organizations, sports team captain, resident advisor, etc. or exceptional leadership of work projectsU.S. citizen or have the legal right to work in the U.S. without requiring sponsorship now or in the futureWe offer competitive compensation and comprehensive benefits and programs that help our employees thrive in both their professional and personal lives. We are proud of our winning culture which is inclusive and respectful at its core. We share passion for serving customers, caring for others, and boldly challenging what’s possible for a sustainable world.Salary InformationBase Pay: $22.00/hr- 29.50/hrDisclaimer: This base pay range is based on US national averages. Actual base pay could be a result of function, class year, and geographic location where the work is performed.We offer competitive compensation and comprehensive benefits and programs that help our employees thrive in both their professional and personal lives. We are proud of our winning culture which is inclusive and respectful at its core. We share a passion for serving customers, caring for others, and boldly challenging what’s possible for a sustainable world.We are committed to achieving workforce diversity reflective of our communities. We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.","('', '', '')"
2024 Engineering Intern (Mechanical Engineering),Trane Technologies,"Clarksville, TN",Other,Intern,https://climatebase.org/job/47120156/2024-engineering-intern-mechanical-engineering?utm_source=company_page,2023-10-05,"At Trane Technologies® (https://www.tranetechnologies.com/)  we Challenge Possible. Our brands – including Trane® (https://www.trane.com/)  and  Thermo   King®   - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.Job Summary:Trane Technologies’ early career student program internships provide current college students with challenging assignments, leadership training, valuable exposure to our company's senior leaders and opportunities to network. Our 12-week summer internship opportunities offer candidates working toward their Bachelor's or Master’s in Mechanical Engineering exposure to a variety of assignments which could include: Product Development, Failure Analysis, Value Engineering, Design, and Verification Testing.At Trane Technologies, we value our people and their development. Through our student programs, participants will have an opportunity to interview for our full-time, post-graduate Accelerated Development Program for Engineering or direct hire opportunities. Click here (https://www.tranetechnologies.com/en/index/careers/early-careers.html)  to learn more.This posting supports multiple positions and the work arrangements will reflect the nature of the selected role. This could include Hybrid or Onsite work arrangements.Successful Candidate’s Profile:We are looking for performance-driven, innovative leaders who understand the importance of collaboration and customer focus. A successful candidate will exhibit the following:Collaborate with others to foster effective teamwork by linking own responsibilities to the team’s goals and needs - zeal for new information, knowledge, and experiencesRapidly resolve problems to maximize customer satisfactionEstablish courses of action for self and others to ensure work is completed efficiently, such as, prioritizing tasks based on importanceWilling to be mobile and relocate anywhere in the United StatesPursuing a BS/MS in Mechanical Engineering with a cumulative overall GPA at or above 3.0Minimum Work Experience: At least one internship or work experienceDemonstrated leadership skills such as: campus organizations, sports team captain, resident advisor, etc. or exceptional leadership of work projectsU.S. citizen or have the legal right to work in the U.S. without requiring sponsorship now or in the futureWe offer competitive compensation and comprehensive benefits and programs that help our employees thrive in both their professional and personal lives. We are proud of our winning culture which is inclusive and respectful at its core. We share passion for serving customers, caring for others, and boldly challenging what’s possible for a sustainable world.Salary InformationBase Pay: $22.00/hr- 29.50/hrDisclaimer: This base pay range is based on US national averages. Actual base pay could be a result of function, class year, and geographic location where the work is performed.We offer competitive compensation and comprehensive benefits and programs that help our employees thrive in both their professional and personal lives. We are proud of our winning culture which is inclusive and respectful at its core. We share a passion for serving customers, caring for others, and boldly challenging what’s possible for a sustainable world.We are committed to achieving workforce diversity reflective of our communities. We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.","('', '', '')"
2024 Engineering Intern (Mechanical Engineering),Trane Technologies,"Minneapolis, MN",Other,Intern,https://climatebase.org/job/47120154/2024-engineering-intern-mechanical-engineering?utm_source=company_page,2023-10-05,"At Trane Technologies® (https://www.tranetechnologies.com/)  we Challenge Possible. Our brands – including Trane® (https://www.trane.com/)  and  Thermo   King®   - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.Job Summary:Trane Technologies’ early career student program internships provide current college students with challenging assignments, leadership training, valuable exposure to our company's senior leaders and opportunities to network. Our 12-week summer internship opportunities offer candidates working toward their Bachelor's or Master’s in Mechanical Engineering exposure to a variety of assignments which could include: Product Development, Failure Analysis, Value Engineering, Design, and Verification Testing.At Trane Technologies, we value our people and their development. Through our student programs, participants will have an opportunity to interview for our full-time, post-graduate Accelerated Development Program for Engineering or direct hire opportunities. Click here (https://www.tranetechnologies.com/en/index/careers/early-careers.html)  to learn more.This posting supports multiple positions and the work arrangements will reflect the nature of the selected role. This could include Hybrid or Onsite work arrangements.Successful Candidate’s Profile:We are looking for performance-driven, innovative leaders who understand the importance of collaboration and customer focus. A successful candidate will exhibit the following:Collaborate with others to foster effective teamwork by linking own responsibilities to the team’s goals and needs - zeal for new information, knowledge, and experiencesRapidly resolve problems to maximize customer satisfactionEstablish courses of action for self and others to ensure work is completed efficiently, such as, prioritizing tasks based on importanceWilling to be mobile and relocate anywhere in the United StatesPursuing a BS/MS in Mechanical Engineering with a cumulative overall GPA at or above 3.0Minimum Work Experience: At least one internship or work experienceDemonstrated leadership skills such as: campus organizations, sports team captain, resident advisor, etc. or exceptional leadership of work projectsU.S. citizen or have the legal right to work in the U.S. without requiring sponsorship now or in the futureWe offer competitive compensation and comprehensive benefits and programs that help our employees thrive in both their professional and personal lives. We are proud of our winning culture which is inclusive and respectful at its core. We share passion for serving customers, caring for others, and boldly challenging what’s possible for a sustainable world.Salary InformationBase Pay: $22.00/hr- 29.50/hrDisclaimer: This base pay range is based on US national averages. Actual base pay could be a result of function, class year, and geographic location where the work is performed.We offer competitive compensation and comprehensive benefits and programs that help our employees thrive in both their professional and personal lives. We are proud of our winning culture which is inclusive and respectful at its core. We share a passion for serving customers, caring for others, and boldly challenging what’s possible for a sustainable world.We are committed to achieving workforce diversity reflective of our communities. We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.","('', '', '')"
2024 Engineering Intern (Mechanical Engineering),Trane Technologies,"Pueblo, CO",Other,Intern,https://climatebase.org/job/47120146/2024-engineering-intern-mechanical-engineering?utm_source=company_page,2023-10-05,"At Trane Technologies® (https://www.tranetechnologies.com/)  we Challenge Possible. Our brands – including Trane® (https://www.trane.com/)  and  Thermo   King®   - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.Job Summary:Trane Technologies’ early career student program internships provide current college students with challenging assignments, leadership training, valuable exposure to our company's senior leaders and opportunities to network. Our 12-week summer internship opportunities offer candidates working toward their Bachelor's or Master’s in Mechanical Engineering exposure to a variety of assignments which could include: Product Development, Failure Analysis, Value Engineering, Design, and Verification Testing.At Trane Technologies, we value our people and their development. Through our student programs, participants will have an opportunity to interview for our full-time, post-graduate Accelerated Development Program for Engineering or direct hire opportunities. Click here (https://www.tranetechnologies.com/en/index/careers/early-careers.html)  to learn more.This posting supports multiple positions and the work arrangements will reflect the nature of the selected role. This could include Hybrid or Onsite work arrangements.Successful Candidate’s Profile:We are looking for performance-driven, innovative leaders who understand the importance of collaboration and customer focus. A successful candidate will exhibit the following:Collaborate with others to foster effective teamwork by linking own responsibilities to the team’s goals and needs - zeal for new information, knowledge, and experiencesRapidly resolve problems to maximize customer satisfactionEstablish courses of action for self and others to ensure work is completed efficiently, such as, prioritizing tasks based on importanceWilling to be mobile and relocate anywhere in the United StatesPursuing a BS/MS in Mechanical Engineering with a cumulative overall GPA at or above 3.0Minimum Work Experience: At least one internship or work experienceDemonstrated leadership skills such as: campus organizations, sports team captain, resident advisor, etc. or exceptional leadership of work projectsU.S. citizen or have the legal right to work in the U.S. without requiring sponsorship now or in the futureWe offer competitive compensation and comprehensive benefits and programs that help our employees thrive in both their professional and personal lives. We are proud of our winning culture which is inclusive and respectful at its core. We share passion for serving customers, caring for others, and boldly challenging what’s possible for a sustainable world.Salary InformationBase Pay: $22.00/hr- 29.50/hrDisclaimer: This base pay range is based on US national averages. Actual base pay could be a result of function, class year, and geographic location where the work is performed.We offer competitive compensation and comprehensive benefits and programs that help our employees thrive in both their professional and personal lives. We are proud of our winning culture which is inclusive and respectful at its core. We share a passion for serving customers, caring for others, and boldly challenging what’s possible for a sustainable world.We are committed to achieving workforce diversity reflective of our communities. We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.","('', '', '')"
2024 Engineering Co-Op,Trane Technologies,"Columbia, SC",Other,Full Time,https://climatebase.org/job/47120108/2024-engineering-co-op?utm_source=company_page,2023-10-05,"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King®  - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.Job Summary:Trane Technologies Co-Op Program provides current college students with meaningful assignments, leadership training, valuable exposure to our company's senior leaders and opportunities to network. Our Co-Op is offered to candidates working towards their Bachelor's in Mechanical Engineering, Applied Physics, or General Engineering field and will operate full-time from January to August as we work with your University towards Academic Credit for your work.Here at Trane Technologies, we value our people and their development. Our goal is to uplift talent and provide options for career paths after graduation. Click here to learn more.Location:Onsite in LOCATION – $3500 relocation/housing stipend is provided prior to startingWe have various co-op positions available; examples of potential work assignments are:Product Engineering Co-Op:•    Cultivate untapped value of our product through an analysis of large amount of customer use profile data.•    Improve current design or product base on design for manufacturability•    Lead cross-functional team to complete quality improvements/initiatives•    Researching new opportunities to add to specials portfolio to board customer base•    Complete analysis of an update to an industry standard or code required for sustained productsManufacturing Engineering Co-Op:•    Analyzing production times and developing job breakdown sheets•    Implementing manufacturing process improvement: metal forming/fabrication, CNC machining operations, mechanical assembly, welding robotics, flame/induction brazing, etc.•    Assisting with new capital equipment purchases, involving business case support and equipment research•    Support product performance testingQuality Engineering Co-Op:•    Quality system development for new products and existing products•    Partnering with Internal Audit for process improvement and documenting quality procedures•    Analyzing processes, documentation, and production for quality improvement•    Ad-hoc projects based on skill-level, degree, or general interestAs we hire the majority of our full-time positions through our intern & co-op talent, successful candidates will have an opportunity to interview for full-time positions.Successful Candidate’s Profile:We are looking for enthusiastic, innovative team members who understand the importance of collaboration and customer focus.•    Must be currently enrolled in a BS/BA in Mechanical Engineering, Electrical Engineering, Robotics, Computer Engineering, Aerospace Engineering, or have taken a Thermodynamics course•    Must be available to work Full-time for 6-8 consecutive months (January-August or May-December)•    Completed coursework focusing on Thermodynamics and Mechanical Design•    Collaborate with others to foster effective teamwork by linking own responsibilities to the team’s goals and needs - zeal for new information, knowledge, and experiences•    Establish courses of action for self and others to ensure work is completed efficiently; ability to prioritize tasks based on importance•    Demonstrated leadership: campus organizations, sports team captain, resident advisor, etc. or exceptional leadership on work projects•    U.S. citizen or have the legal right to work in the U.S. without requiring sponsorship now or in the futureSalary Information:Base Pay Range: $22.50 - $27.00 per hourDisclaimer – This base pay range is based on US national averages. Actual base pay could be a result of function, class year, and geographic location where the work is performed.We are committed to achieving workforce diversity reflective of our communities. We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identify, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.","('Pay Range:', '$22.50', '$27.00')"
2024 Sales Engineer Intern - Service,Trane Technologies,"Albuquerque, NM",Other,Intern,https://climatebase.org/job/47120082/2024-sales-engineer-intern---service?utm_source=company_page,2023-10-05,"At Trane TechnologiesTM (https://www.tranetechnologies.com)   and through our businesses including Trane® (https://www.trane.com)  and Thermo King® (https://www.Thermoking.com) , we create innovative climate solutions for buildings, homes, and transportation that challenge what’s possible for a sustainable world. We're a team that dares to look at the world's challenges and see impactful possibilities. We believe in a better future when we uplift others and enable our people to thrive at work and at home. We boldly go.Position:Trane Technologies’, the global leader in innovative climate solutions, hands on summer internship allows participants to explore a career in Sales Engineering through the following:·       A 12-week internship program that will challenge and develop your technical, business, sales, leadership, and communication skills – providing insight into a sales engineering career with Trane.·       Gain and interact with the world's most complete line of commercial, industrial, and institutional heating, ventilating, and air conditioning (HVAC) equipment and building management controls.·       Be exposed to the many facets of Trane Technologies’ businesses: Service, Equipment, Building Automation, Application, Fulfillment, and much more.·       This internship will provide you the experience to pursue a career in Sales Engineering, and creates the opportunity to join our industry leading Graduate Training Program (GTP) after graduation.Responsibilities:Our award-winning internship program provides you the opportunity to learn more about us while you collaborate with peers across North America. As a Sales Engineer Intern you may experience or gain exposure to:·       Work directly with our industry leading Sales Engineers and customers.·       Understand the design, application and sale of systems, controls, parts, and services for commercial, industrial, and institutional buildings.·       Attend sales meetings; business functions; sales and service calls; customer meetings alongside experienced account managers and mentors.·       Understand the steps sales engineers take from start to finish on a job and be hands-on in those steps throughout the internship.·       Gain an appreciation for the importance of the relationship with our customers as you work with them as a daily point-of-contact creating a sense of ownership and importance in the solution-making process.Compensation Information :Pay Range: 21.00 - 30.00Disclaimer: This base pay range is based on US national averages. Actual base pay could be a result of function, class year, and geographic location where the work is performed.Travel :·       Less than 15% in defined geographyQualifications:·       Pursuing bachelor’s degree– Preferred: Business, Management, Sales, Entrepreneurship, Marketing, Engineering·       Be a U.S. citizen or have the legal right to work in the U.S. without requiring sponsorship now or in the future.·       This posting is for multiple opportunities. Some positions may be remote while others may require a hybrid or onsite assignment at one of our facilities across North America.·       Possess a valid driver’s license for a minimum of 12 months, ability to provide proof of insurance, and have no major or frequent traffic violations including, but not limited to:o   DUI in the previous 3 yearso   Hit & Run, License Suspension, Reckless / Careless Driving or multiple smaller infractions or preventable collisions in the previous 3 years.We offer competitive compensation and comprehensive benefits and programs. We are an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.","('Pay Range:', '21.00', '30.00')"
2024 Sales Engineer Intern - Equipment,Trane Technologies,"Pine Brook, NJ",Other,Intern,https://climatebase.org/job/47120081/2024-sales-engineer-intern---equipment?utm_source=company_page,2023-10-05,"At  Trane Technologies  TM   and through our businesses including  Trane  ®  and  Thermo King  ® , we create innovative climate solutions for buildings, homes, and transportation that challenge what’s possible for a sustainable world. We're a team that dares to look at the world's challenges and see impactful possibilities. We believe in a better future when we uplift others and enable our people to thrive at work and at home. We boldly go.Trane Technologies’, the global leader in innovative climate solutions, hands on summer internship allows participants to explore a career in Sales Engineering through the following:A 12-week internship program that will challenge and develop your technical, business, sales, leadership, and communication skills – providing insight into a sales engineering career with Trane.Gain and interact with the world's most complete line of commercial, industrial, and institutional heating, ventilating, and air conditioning (HVAC) equipment and building management controls.Be exposed to the many facets of Trane Technologies’ businesses: Service, Equipment, Building Automation, Application, Fulfillment, and much more.This internship will provide you the experience to pursue a career in Sales Engineering, and creates the opportunity to join our industry leading Graduate Training Program (GTP) after graduation.Responsibilities:Our award-winning internship program provides you the opportunity to learn more about us while you collaborate with peers across North America. As a Sales Engineer Intern you may experience or gain exposure to:Work directly with our industry leading Sales Engineers and customers.Understand the design, application and sale of systems, controls, parts, and services for commercial, industrial, and institutional buildings.Attend sales meetings; business functions; sales and service calls; customer meetings alongside experienced account managers and mentors.Understand the steps sales engineers take from start to finish on a job and be hands-on in those steps throughout the internship.Gain an appreciation for the importance of the relationship with our customers as you work with them as a daily point-of-contact creating a sense of ownership and importance in the solution-making process.Compensation Information:Pay Range: 21.46 - 30.16Disclaimer: This base pay range is based on US national averages. Actual base pay could be a result of function, class year, and geographic location where the work is performed.Travel:Less than 15% in defined geographyQualifications:Pursuing bachelor’s degree in engineering (Open to all engineering areas of emphasis)Be a U.S. citizen or have the legal right to work in the U.S. without requiring sponsorship now or in the future.Be a Canadian citizen or have the legal right to work in Canada without requiring sponsorship now or in the future.This posting is for multiple opportunities. Some positions may be remote while others may require a hybrid or onsite assignment at one of our facilities across North America.Possess a valid driver’s license for a minimum of 12 months, ability to provide proof of insurance, and have no major or frequent traffic violations including, but not limited to:DUI in the previous 3 yearsHit & Run, License Suspension, Reckless / Careless Driving or multiple smaller infractions or preventable collisions in the previous 3 years.We offer competitive compensation and comprehensive benefits and programs. We are an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.","('Pay Range:', '21.46', '30.16')"
2024 Sales Engineer Intern - Equipment,Trane Technologies,"Holland, OH",Other,Intern,https://climatebase.org/job/47120080/2024-sales-engineer-intern---equipment?utm_source=company_page,2023-10-05,"At Trane TechnologiesTM (https://www.tranetechnologies.com)   and through our businesses including Trane® (https://www.trane.com)  and Thermo King® (https://www.Thermoking.com) , we create innovative climate solutions for buildings, homes, and transportation that challenge what’s possible for a sustainable world. We're a team that dares to look at the world's challenges and see impactful possibilities. We believe in a better future when we uplift others and enable our people to thrive at work and at home. We boldly go.Position:Trane Technologies’, the global leader in innovative climate solutions, hands on summer internship allows participants to explore a career in Sales Engineering through the following:A 12-week internship program that will challenge and develop your technical, business, sales, leadership, and communication skills – providing insight into a sales engineering career with Trane.Gain and interact with the world's most complete line of commercial, industrial, and institutional heating, ventilating, and air conditioning (HVAC) equipment and building management controls.Be exposed to the many facets of Trane Technologies’ businesses: Service, Equipment, Building Automation, Application, Fulfillment, and much more.This internship will provide you the experience to pursue a career in Sales Engineering, and creates the opportunity to join our industry leading Graduate Training Program (GTP) after graduation.Responsibilities:Our award-winning internship program provides you the opportunity to learn more about us while you collaborate with peers across North America. As a Sales Engineer Intern you may experience or gain exposure to:Work directly with our industry leading Sales Engineers and customers.Understand the design, application and sale of systems, controls, parts, and services for commercial, industrial, and institutional buildings.Attend sales meetings; business functions; sales and service calls; customer meetings alongside experienced account managers and mentors.Understand the steps sales engineers take from start to finish on a job and be hands-on in those steps throughout the internship.Gain an appreciation for the importance of the relationship with our customers as you work with them as a daily point-of-contact creating a sense of ownership and importance in the solution-making process.Compensation Information:Pay Range: 21.00 - 30.00Disclaimer: This base pay range is based on US national averages. Actual base pay could be a result of function, class year, and geographic location where the work is performed.Travel:·       Less than 15% in defined geographyQualifications:Pursuing bachelor’s degree in engineering (Open to all engineering areas of emphasis)Be a U.S. citizen or have the legal right to work in the U.S. without requiring sponsorship now or in the future.This posting is for multiple opportunities. Some positions may be remote while others may require a hybrid or onsite assignment at one of our facilities across North America.Possess a valid driver’s license for a minimum of 12 months, ability to provide proof of insurance, and have no major or frequent traffic violations including, but not limited to:DUI in the previous 3 yearsHit & Run, License Suspension, Reckless / Careless Driving or multiple smaller infractions or preventable collisions in the previous 3 years.We offer competitive compensation and comprehensive benefits and programs. We are an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.","('Pay Range:', '21.00', '30.00')"
2024 Engineering Intern (Electrical Engineering),Trane Technologies,"Clarksville, TN",Other,Intern,https://climatebase.org/job/47120079/2024-engineering-intern-electrical-engineering?utm_source=company_page,2023-10-05,"At  Trane Technologies  TM   and through our businesses including  Trane  ®  and  Thermo King  ® , we create innovative climate solutions for buildings, homes, and transportation that challenge what’s possible for a sustainable world. We're a team that dares to look at the world's challenges and see impactful possibilities. We believe in a better future when we uplift others and enable our people to thrive at work and at home. We boldly go.Job Summary:Trane Technologies’ early career student program internships provide current college students with challenging assignments, leadership training, valuable exposure to our company's senior leaders and opportunities to network. Our 12-week summer internship opportunities offer candidates working toward their Bachelor's or Master’s in Electrical Engineering exposure to a variety of assignments which could include: Product Development, Failure Analysis, Value Engineering, Design, and Verification Testing.At Trane Technologies, we value our people and their development. Through our student programs, participants will have an opportunity to interview for our full-time, post-graduate Accelerated Development Program for Engineering or direct hire opportunities. Click here (https://www.tranetechnologies.com/en/index/careers/early-careers.html)  to learn more.This posting supports multiple positions and the work arrangements will reflect the nature of the selected role. This could include Hybrid or Onsite work arrangements.Successful Candidate’s Profile:We are looking for performance-driven, innovative leaders who understand the importance of collaboration and customer focus. A successful candidate will exhibit the following:Collaborate with others to foster effective teamwork by linking own responsibilities to the team’s goals and needs - zeal for new information, knowledge, and experiencesRapidly resolve problems to maximize customer satisfactionEstablish courses of action for self and others to ensure work is completed efficiently, such as, prioritizing tasks based on importanceWilling to be mobile and relocate anywhere in the United StatesPursuing a BS/MS in Electrical Engineering with a cumulative overall GPA at or above 3.0Minimum Work Experience: At least one internship or work experienceDemonstrated leadership skills such as: campus organizations, sports team captain, resident advisor, etc. or exceptional leadership of work projectsU.S. citizen or have the legal right to work in the U.S. without requiring sponsorship now or in the futureWe offer competitive compensation and comprehensive benefits and programs that help our employees thrive in both their professional and personal lives. We are proud of our winning culture which is inclusive and respectful at its core. We share passion for serving customers, caring for others, and boldly challenging what’s possible for a sustainable world.Salary InformationBase Pay: $22.00/hr- 29.50/hrDisclaimer: This base pay range is based on US national averages. Actual base pay could be a result of function, class year, and geographic location where the work is performed.We offer competitive compensation and comprehensive benefits and programs. We are an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.","('', '', '')"
2024 Energy Engineering Intern,Trane Technologies,"Nashville, TN",Other,Intern,https://climatebase.org/job/47120078/2024-energy-engineering-intern?utm_source=company_page,2023-10-05,"At  Trane Technologies  TM  and through our businesses including  Trane  ®  and  Thermo King  ® , we create innovative climate solutions for buildings, homes, and transportation that challenge what’s possible for a sustainable world. We're a team that dares to look at the world's challenges and see impactful possibilities. We believe in a better future when we uplift others and enable our people to thrive at work and at home. We boldly go.Job SummaryOur 12-week intern program will challenge and develop your technical, business, leadership, and communication skills. It will provide you insight into an Energy Engineering career with Trane Technologies, focusing on solutions that provide our customers with the most energy-efficient buildings. You will be able to grow in a variety of areas, including energy analysis projects, completion of field energy audits, client interviews, completion of estimates, and development of energy conversation measures, and project management.For those who mutually agree to pursue this career, this internship also creates the opportunity to join our industry leading Graduate Training Program (GTP) after graduation.As an Energy Engineer Intern, you may experience and assist in:Partnering with Account Managers and Energy Engineers to diagnose energy opportunities with customer’s facilities and provide small energy projects that solve customer issues/opportunities.Providing technical analysis/review for energy projects; providing project risk assessment.Performing building “walk-throughs” and identifying energy conservation measures (architectural, mechanical, electrical, etc.) in commercial, institutional, and industrial facilities.Developing existing reporting capabilities from a software standpoint and a usability perspective and investigate new technologies.Prescribing best methods for measurement and verification of system performance during the acquisition phase.Analyzing data outputs for trends and/or any deviations that need further investigating.Assisting with opportunity technical qualification including Preliminary Audits, Benchmarking, Site Surveys, and Interviews.Collecting, analyzing, and developing benchmark summary reports to illustrate the pertinent details of building and/or system performance.Compensation Information:Pay Range: $22.00 - $29.50Disclaimer: This base pay range is based on US national averages. Actual base pay could be a result of function, class year, and geographic location where the work is performed.Qualifications:Pursuing a bachelor’s degree in Engineering, preferred disciplines: Energy, Mechanical or Electrical.Be a U.S. citizen or have the legal right to work in the U.S. without requiring sponsorship now or in the future.This posting is for multiple opportunities. Some positions may be remote while others may require a hybrid or onsite assignment at one of our facilities across North America.Possess a valid driver’s license for a minimum of 12 months, ability to provide proof of insurance, and have no major or frequent traffic violations including, but not limited to:DUI in the previous 3 yearsHit & Run, License Suspension, Reckless / Careless Driving or multiple smaller infractions or preventable collisions in the previous 3 years.We offer competitive compensation and comprehensive benefits and programs. We are an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.","('Pay Range:', '$22.00', '$29.50')"
