Title,Company,Location,Tag,Type,Link
Senior PHP Backend Developer (m/f/d),zolar,Remote,Energy,Full Time,https://climatebase.org/job/46738844/senior-php-backend-developer-mfd?utm_source=jobs_directory
(Senior) Typescript Fullstack Engineer (m/f/d),zolar,Remote,Energy,Full Time,https://climatebase.org/job/46574059/senior-typescript-fullstack-engineer-mfd?utm_source=jobs_directory
Space Systems Engineer,ICEYE,"Espoo, Finland",Research & Education,Full Time,https://climatebase.org/job/46862480/space-systems-engineer?utm_source=jobs_directory
Research Associate,Natural Resources Defense Council,"Washington, DC, US",Advocacy or Policy,Full Time,https://climatebase.org/job/46862322/research-associate?utm_source=jobs_directory
Data Scientist,OVO Energy,Any of our offices,Energy,Full Time,https://climatebase.org/job/46860605/data-scientist?utm_source=jobs_directory
Accounts Payable Supervisor,OVO Energy,"Bristol, United Kingdom",Energy,Full Time,https://climatebase.org/job/46860597/accounts-payable-supervisor?utm_source=jobs_directory
Customer Service Specialist - Swedish,Wallbox Chargers,"Barcelona, Spain",,Full Time,https://climatebase.org/job/46859294/customer-service-specialist---swedish?utm_source=jobs_directory
Automation Data Integration Engineer (M/F),Verkor,"Grenoble, France",Energy,Full Time,https://climatebase.org/job/46858843/automation-data-integration-engineer-mf?utm_source=jobs_directory
SA - FP&A Manager,Mainstream Renewable Power,"Cape Town, Western Cape",Energy,Full Time,https://climatebase.org/job/46858597/sa---fpa-manager?utm_source=jobs_directory
QA Engineer,KrakenFlex (Octopus Energy Group),"Manchester, UK",,Full Time,https://climatebase.org/job/46858497/qa-engineer?utm_source=jobs_directory
Process Development Engineer,Heirloom,"Brisbane, CA",Carbon Removal Tech,Full Time,https://climatebase.org/job/46858446/process-development-engineer?utm_source=jobs_directory
Community Lead - Louisiana,Heirloom,Louisiana,Carbon Removal Tech,Full Time,https://climatebase.org/job/46858441/community-lead---louisiana?utm_source=jobs_directory
Building Maintenance Technician,YASA,"Oxford, Oxfordshire",,Full Time,https://climatebase.org/job/46858327/building-maintenance-technician?utm_source=jobs_directory
R&D Construction Manager,Energy Vault,Lugano,Energy,Full Time,https://climatebase.org/job/46858193/rd-construction-manager?utm_source=jobs_directory
"City Manager, Paris",Dott,Paris,Transportation,Full Time,https://climatebase.org/job/46857899/city-manager-paris?utm_source=jobs_directory
Business Support Generalist,"Native, A Public Benefit Corporation","Burlington, VT, United States",Energy,Full Time,https://climatebase.org/job/46857859/business-support-generalist?utm_source=jobs_directory
Integrated Actuation Architect,Vertical Aerospace,Bristol,Transportation,Full Time,https://climatebase.org/job/46857687/integrated-actuation-architect?utm_source=jobs_directory
Cockpit and Cabin Systems Architect,Vertical Aerospace,Bristol,Transportation,Full Time,https://climatebase.org/job/46857682/cockpit-and-cabin-systems-architect?utm_source=jobs_directory
Student/Intern - Data Strategy (m/f/d),BuildingMinds,"Berlin , Berlin (Hybrid)",Buildings,Intern,https://climatebase.org/job/46857642/studentintern---data-strategy-mfd?utm_source=jobs_directory
Student/Intern - Data & Machine Learning Engineer (m/f/d),BuildingMinds,"Berlin , Berlin (Hybrid)",Buildings,Intern,https://climatebase.org/job/46857641/studentintern---data--machine-learning-engineer-mfd?utm_source=jobs_directory
Business Development Representative,LevelTen Energy,"Seattle, WA",Energy,Full Time,https://climatebase.org/job/46857457/business-development-representative?utm_source=jobs_directory
Supplier Quality Engineer - Electrical,Electric Hydrogen,"San Carlos, California, United States",Energy,Full Time,https://climatebase.org/job/46702728/supplier-quality-engineer---electrical?utm_source=jobs_directory
Head of Sales - Railway (m/f/x),KONUX,Munich,,Full Time,https://climatebase.org/job/46609318/head-of-sales---railway-mfx?utm_source=jobs_directory
Fullstack Software Engineer,ICEYE,"Helsinki, Finland",Research & Education,Full Time,https://climatebase.org/job/46267958/fullstack-software-engineer?utm_source=jobs_directory
Head of Business Development - Indonesia,Recoolit,"Jakarta, Indonesia",Buildings,Full Time,https://climatebase.org/job/46857025/head-of-business-development---indonesia?utm_source=jobs_directory
California Organizer,Jobs to Move America,"Imperial County, CA, USA",Advocacy or Policy,Full Time,https://climatebase.org/job/46857024/california-organizer?utm_source=jobs_directory
Cost Controller,Excess Materials Exchange,"Amsterdam, Netherlands",Other,Full Time,https://climatebase.org/job/46857023/cost-controller?utm_source=jobs_directory
Marketing Manager,Ever.green,"Seattle, WA, USA",Energy,Full Time,https://climatebase.org/job/46822776/marketing-manager?utm_source=jobs_directory
Chief Technology Officer & Cofounder,Renewables.org,"Brooklyn, NY 11211, USA",Energy,Full Time,https://climatebase.org/job/46815161/chief-technology-officer--cofounder?utm_source=jobs_directory
Full Stack Software Engineer,Sympower,Remote,Energy,Full Time,https://climatebase.org/job/46856463/full-stack-software-engineer?utm_source=jobs_directory
"Media Relations Lead, Sector Decarbonization",RMI,Remote (U.S.),Energy,Full Time,https://climatebase.org/job/46853225/media-relations-lead-sector-decarbonization?utm_source=jobs_directory
Senior Data Scientist - Carbon-Free Transportation,RMI,Remote (U.S.),Energy,Full Time,https://climatebase.org/job/46853224/senior-data-scientist---carbon-free-transportation?utm_source=jobs_directory
Office Operations Associate,Advanced Energy Economy,"Remote (DC, United States)",Advocacy or Policy,Full Time,https://climatebase.org/job/46852743/office-operations-associate?utm_source=jobs_directory
Lead Energy Optimization Engineer,Ascend Analytics,"Remote (Boulder, Co,  Within U.S)",Energy,Full Time,https://climatebase.org/job/46852552/lead-energy-optimization-engineer?utm_source=jobs_directory
